lat	lon
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
66.6255	-23.85266667
-41.00028	-74.44972
-41.00028	-74.44972
-41.00028	-74.44972
-41.00028	-74.44972
-41.00028	-74.44972
43.48328333	-54.8664
43.48328333	-54.8664
43.48328333	-54.8664
43.48328333	-54.8664
43.48328333	-54.8664
43.48328333	-54.8664
43.48328333	-54.8664
43.48328333	-54.8664
43.48328333	-54.8664
43.48328333	-54.8664
43.48328333	-54.8664
43.48328333	-54.8664
43.48328333	-54.8664
43.48328333	-54.8664
43.48328333	-54.8664
43.48328333	-54.8664
43.48328333	-54.8664
43.48328333	-54.8664
43.48328333	-54.8664
43.48328333	-54.8664
43.48328333	-54.8664
43.48328333	-54.8664
43.48328333	-54.8664
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
6.45	125.83
9.23333	109.3833
9.23333	109.3833
9.23333	109.3833
9.23333	109.3833
9.23333	109.3833
5.65	110.65
5.65	110.65
5.65	110.65
5.65	110.65
5.65	110.65
0.02167	-86.46333
0.02167	-86.46333
0.02167	-86.46333
0.02167	-86.46333
-17.15833	11.00833
-17.15833	11.00833
-17.15833	11.00833
-17.15833	11.00833
-17.15833	11.00833
-17.15833	11.00833
-17.15833	11.00833
-17.15833	11.00833
-17.15833	11.00833
-32.75	-72.03333333
-32.75	-72.03333333
-32.75	-72.03333333
-32.75	-72.03333333
-11.92	13.4
-11.92	13.4
-11.92	13.4
-11.92	13.4
-11.92	13.4
-11.92	13.4
-1.52	-85.82
-1.52	-85.82
-1.52	-85.82
-0.47	-82.07
-0.47	-82.07
-0.47	-82.07
-2.37	-84.65
-2.37	-84.65
-2.37	-84.65
-2.37	-84.65
-3.38	-83.52
-3.38	-83.52
-3.38	-83.52
-1.22	-89.68
-1.22	-89.68
-1.22	-89.68
-1.22	-89.68
-1.22	-89.68
-1.2167	-89.6833
-1.2167	-89.6833
-1.2167	-89.6833
-1.2167	-89.6833
-1.2167	-89.6833
34.168	-80.7767
34.168	-80.7767
34.168	-80.7767
34.168	-80.7767
34.168	-80.7767
34.168	-80.7767
34.168	-80.7767
34.168	-80.7767
34.168	-80.7767
68.35	-138.35
68.35	-138.35
68.35	-138.35
68.35	-138.35
68.35	-138.35
68.35	-138.35
68.35	-138.35
68.35	-138.35
68.35	-138.35
68.35	-138.35
68.35	-138.35
63.44833333	-162.105
68.44333333	-159.1686667
68.44333333	-159.1686667
68.44333333	-159.1686667
-41	-74.45
